crop;yield;region;categorie
M.giganteus;18.75;Europe;perennial
M.giganteus;2.64;Europe;perennial
M.giganteus;1.74;Europe;perennial
M.giganteus;1.67;Europe;perennial
M.giganteus;3.71;Europe;perennial
M.giganteus;1.83;Europe;perennial
M.giganteus;2.25;Europe;perennial
M.giganteus;2.88;Europe;perennial
M.giganteus;2.08;Europe;perennial
M.giganteus;2.25;Europe;perennial
M.giganteus;3.85;Europe;perennial
M.giganteus;14.42;Europe;perennial
M.giganteus;16.52;Europe;perennial
M.giganteus;18.1;Europe;perennial
M.giganteus;18.9;Europe;perennial
M.giganteus;29.4;Europe;perennial
M.giganteus;30.4;Europe;perennial
M.giganteus;46.27;Americas;perennial
M.giganteus;37.5;Americas;perennial
M.giganteus;23;Europe;perennial
M.giganteus;23.6;Europe;perennial
M.giganteus;24;Europe;perennial
M.giganteus;26.1;Europe;perennial
M.giganteus;22.7;Europe;perennial
M.giganteus;26.2;Europe;perennial
M.giganteus;27.7;Europe;perennial
M.giganteus;28.4;Europe;perennial
M.giganteus;14.3;Europe;perennial
M.giganteus;18.5;Europe;perennial
M.giganteus;20.9;Europe;perennial
M.giganteus;22.2;Europe;perennial
M.giganteus;15.4;Europe;perennial
M.giganteus;19.5;Europe;perennial
M.giganteus;20.5;Europe;perennial
M.giganteus;22;Europe;perennial
M.giganteus;39.7;Europe;perennial
M.giganteus;28.1;Europe;perennial
M.giganteus;31.11;Americas;perennial
M.giganteus;41.04;Americas;perennial
M.giganteus;34.16;Americas;perennial
M.giganteus;48.18;Americas;perennial
M.giganteus;10.28;Americas;perennial
M.giganteus;26.89;Americas;perennial
M.giganteus;13.8;Americas;perennial
M.giganteus;22.2;Americas;perennial
P.amarum;6.02;Europe;perennial
P.amarum;10.29;Europe;perennial
P.amarum;19.13;Europe;perennial
P.amarum;1.47;Europe;perennial
P.amarum;6.49;Europe;perennial
P.amarum;6.53;Europe;perennial
P.amarum;12.27;Europe;perennial
P.amarum;11.23;Europe;perennial
P.amarum;8.16;Europe;perennial
P.amarum;12.79;Europe;perennial
P.amarum;19.75;Europe;perennial
P.amarum;1.9;Europe;perennial
P.amarum;6.61;Europe;perennial
P.amarum;6.61;Europe;perennial
P.amarum;12.02;Europe;perennial
P.amarum;11.35;Europe;perennial
P.virgatum;9.4;Asia;perennial
P.virgatum;8.7;Asia;perennial
P.virgatum;2.52;Europe;perennial
P.virgatum;12.69;Europe;perennial
P.virgatum;8.75;Europe;perennial
P.virgatum;9.54;Europe;perennial
P.virgatum;8.38;Europe;perennial
P.virgatum;11.83;Europe;perennial
P.virgatum;14.09;Europe;perennial
P.virgatum;4.77;Europe;perennial
P.virgatum;5.57;Europe;perennial
P.virgatum;7.01;Europe;perennial
P.virgatum;4.78;Europe;perennial
P.virgatum;9.24;Europe;perennial
P.virgatum;9.78;Europe;perennial
P.virgatum;7.02;Europe;perennial
P.virgatum;11.8;Europe;perennial
P.virgatum;12.5;Europe;perennial
P.virgatum;2.85;Europe;perennial
P.virgatum;3.37;Europe;perennial
P.virgatum;4.41;Europe;perennial
P.virgatum;2.82;Europe;perennial
P.virgatum;5.64;Europe;perennial
P.virgatum;7.16;Europe;perennial
P.virgatum;4.75;Europe;perennial
P.virgatum;10.9;Europe;perennial
P.virgatum;11.8;Europe;perennial
P.virgatum;20.08;Americas;perennial
P.virgatum;10.55;Americas;perennial
P.virgatum;19.6;Europe;perennial
P.virgatum;18.9;Europe;perennial
P.virgatum;14.9;Europe;perennial
P.virgatum;9.2;Europe;perennial
P.virgatum;19.3;Europe;perennial
P.virgatum;20.1;Europe;perennial
P.virgatum;19.5;Europe;perennial
P.virgatum;18.2;Europe;perennial
P.virgatum;15.9;Europe;perennial
P.virgatum;16.7;Europe;perennial
P.virgatum;13.8;Europe;perennial
P.virgatum;12.6;Europe;perennial
P.virgatum;17.5;Europe;perennial
P.virgatum;19.4;Europe;perennial
P.virgatum;17.5;Europe;perennial
P.virgatum;16;Europe;perennial
P.virgatum;7.8;Europe;perennial
P.virgatum;10.1;Europe;perennial
P.virgatum;11.05;Europe;perennial
P.virgatum;15.24;Europe;perennial
P.virgatum;1.66;Europe;perennial
P.virgatum;7.05;Europe;perennial
P.virgatum;8.11;Europe;perennial
P.virgatum;10.88;Europe;perennial
P.virgatum;10.94;Europe;perennial
P.virgatum;7.96;Europe;perennial
P.virgatum;5.55;Europe;perennial
